ConsignmentNumber,CustomerReference,CustomerReference2,ConsignmentType,AccountCode,CollectionName,CollectionAddress1,CollectionAddress2,CollectionTownCity,CollectionCounty,CollectionPostCode,CollectionCountry,CollectionIsResidential,CollectionDate,CollectionTime,CollectionContactName,CollectionPhone,CollectionSMS,CollectionEmailAddress,CollectionNoteLine1,CollectionNoteLine2,CollectionNoteLine3,CollectionNoteLine4,DeliveryName,DeliveryAddress1,DeliveryAddress2,DeliveryTownCity,DeliveryCounty,DeliveryPostCode,DeliveryCountry,DeliveryIsResidential,DeliveryDate,DeliveryTime,DeliveryContactName,DeliveryPhone,DeliverySMS,DeliveryEmailAddress,CustPaperworkRequired,DeliveryNoteLine1,DeliveryNoteLine2,DeliveryNoteLine3,DeliveryNoteLine4,TotalSpaces,TotalKilos,UnitCode,FullQ,HalfQ,HalfPlusQ,QuarterQ,MicroQ,ServiceCode,Surcharges,Surcharge1,Surcharge2,Surcharge3,Surcharge4,Surcharge5,AmazonASN,AmazonFBARef,AmazonBillOfLading,AmazonCartonCount,AmazonUnitCount,AmazonPORef
135,191821,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,AAF,,,,,,,,ALL ABOUT FOOD LTD,FOURWAYS HOUSE,57 HILTON STREET,MANCHESTER (V),,M1 2EJ,GBR,,2025-10-20,00:00,ALL ABOUT FOOD LTD,0330 165 4430,,,Y,BY 24/6 (R),Customer paperwork must be signed.,,,1,29,PL,0,0,0,1,0,B,BK TL,BK,TL,,,,,,,0,0,
136,735182,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,CRU,,,,,,,,T QUALITY LTD,UNIT 16 WALTER STREET,MAPLE BUSINESS PARK,BIRMINGHAM,,B7 5ET,GBR,,2025-10-20,00:00,T QUALITY LTD,0121 327 6146,,,Y,BY 24/6,Customer paperwork must be signed.,,,4,818,PL,1,0,0,3,0,B,BK TL,BK,TL,,,,,,,0,0,
137,585071,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,SWI,,,,,,,,CHILTERN COLD STORAGE,CHILTERN HOUSE,,PETERBOROUGH,,PE2 7LB,GBR,,2025-10-20,00:00,CHILTERN COLD STORAGE,01733 731300,,,Y,BY 24/6,Customer paperwork must be signed.,,,2,877,PL,2,0,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
138,735244,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,CRU,,,,,,,,EAGLE FOODS LTD,ANTEON HOUSE,,PETERBOROUGH,,PE1 5FL,GBR,,2025-10-20,00:00,EAGLE FOODS LTD,01733 755 557,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,622,PL,1,0,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
139,585271,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,SWI,,,,,,,,BESTWAY WHOLESALE (DEPOT 832),WEST SERVICE ROAD,,DERBY,DERBYSHIRE,DE21 7BL,GBR,,2025-10-20,00:00,BESTWAY WHOLESALE (DEPOT 832),01332 545760,,,Y,BK,Customer paperwork must be signed.,,,2,403,PL,0,2,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
140,585280,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,SWI,,,,,,,,BESTWAY WHOLESALE (DEPOT 820),HILL CLOSE,LODGE FARM IND EST,NORTHAMPTON,NORTHAMPTONSHIRE,NN5 7UN,GBR,,2025-10-20,00:00,BESTWAY WHOLESALE (DEPOT 820),01604 751231,,,Y,23/06/2025 PL,Customer paperwork must be signed.,,,2,535,PL,1,1,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
141,85700,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,WLL,01829 260704,,,,,,,PROMOTIONAL HANDLING LTD,HONFAES LANE,DRAGONWORKS IND PARK,WELSHPOOL,POWYS,SY21 7BE,GBR,,2025-10-20,11:00,PROMOTIONAL HANDLING LTD,01938 551919,,,Y,BOOKED,Customer paperwork must be signed.,,,2,182,PL,1,0,0,1,0,B,BD,BD,,,,,,,,0,0,
142,TRANS006702 / 1,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,NIL,01829 260704,,,,,,,Nic Ice Limited (Nil),Unit 8,,Witham St Hugh,,LN6 9BJ,GBR,,2025-10-20,15:00,Nic Ice Limited (Nil),03301 281 655,,,Y,EMAILED,Customer paperwork must be signed.,,,1,179,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
143,11452,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,EXI,01829 260704,,,,,,,Best Buy Diy,8 Water Lane,,Southampton (PL),,SO40 3DP,GBR,,2025-10-20,15:00,Best Buy Diy,,,,Y,EMAILED,Customer paperwork must be signed.,,,1,797,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
144,2506008318,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,TOW,01829 260704,,,,,,,Harbro Country Store,Mayshade Park,,Dalkeith (R),,EH22 3LA,GBR,,2025-10-20,15:00,Harbro Country Store,0131 6603921,,,Y,EMAILED,Customer paperwork must be signed.,,,2,301,PL,0,2,0,0,0,B,BW,BW,,,,,,,,0,0,
